1612.1,54.112,31.759,68.196,127.09,120.33,76.783,72.915,47.882,9177,2.0492,0
2130.1,221.36,441.78,507.5,763.06,537.36,574.73,394.04,304.85,9479,2.4877,0
2289.8,206.67,246.57,444.71,599.54,447.88,494.65,225.36,508.82,9544,2.6,0
3448.2,612.39,639.25,395.93,612.77,617.5,529.48,464.13,639.7,9888,3.2572,0
2572.6,288.09,254.44,501.13,232.17,411.3,210.38,354.57,559.24,9755,2.7849,0
2431.4,388.17,159.56,274.85,140.03,250.08,125.27,375.97,482.97,9631,2.6939,0
1941.8,244.64,163.11,61.759,272.42,144.21,155.42,233.6,522.6,9399,2.3218,0
862.33,13.835,57.64,98.378,77.924,56.677,417.46,165.88,167.69,7057,1.0964,0
2554.1,516.73,455.86,207.39,291.51,422.13,369.81,442.32,269.16,9666,2.782,0
2048.5,167.37,468.29,639.47,659.27,279.81,261.44,766.73,473.28,9439,2.4353,0
2156,283.05,506.02,381.9,241.14,335.89,365.56,663.27,551.45,9488,2.4988,0
1833.8,116.92,130.4,31.095,64.523,57.058,102.97,135,135.32,9399,2.2503,0
2922.2,512.21,441.58,444.15,573.46,510.84,551.74,726.42,505.75,9869,2.985,0
2245.6,420.34,313.09,405.12,515.66,664.74,464.8,523.68,675.12,9580,2.587,0
2070.9,388.37,484.83,448.1,389.68,582.6,232.03,402.49,227.58,9572,2.4303,0
1675.1,267.45,299.38,272.13,246.9,164.5,232.77,123.26,284.85,8984,2.3136,0
3308.9,693.5,744.97,590.37,661.11,633.63,446.37,487.42,482.84,9937,3.1864,0
3169.3,389.39,372.93,271.98,339.38,398.76,202.91,419.8,676.82,9804,3.1084,0
3043.9,372.9,316.71,942.62,562.56,212.2,508.58,487.01,154.83,9806,3.0553,0
2099.6,234.15,616.24,440.04,708.18,311.41,336.57,679.57,610.86,9474,2.4816,0
2186.6,269.57,523.49,355.63,376.9,491.88,441.1,322.71,173.82,9542,2.5871,0
1347.6,135.28,116.4,223.45,45.025,281.05,326.78,341.65,347.22,8691,1.8076,0
1508.4,130.13,92.286,184.58,271.17,206.74,360.48,298.39,256.67,8982,1.937,0
2070,207.38,595.29,317.28,291.26,305.21,433.48,542.36,741.45,9403,2.4732,0
1634.7,51.914,201.9,132.68,587.02,298.81,706.78,744.81,603.15,9209,2.036,0
2274.5,244.97,630.9,335.15,171.62,454.88,548.58,639.39,705.6,9632,2.6098,0
3392.9,536.93,411.69,435.64,564.94,379.31,367.7,715.13,554.74,9958,3.2195,0
3312.3,565.1,277.52,590.26,541.49,524.5,549.1,457.11,574.65,9859,3.1802,0
1109.5,75.741,266.73,126.52,83.998,358.95,310.85,257.22,249.84,7942,1.6257,0
2625.8,314.2,187.16,313.5,130.39,443.84,205.67,416.21,227.13,9797,2.8193,0
